Episode 0, Avg Reward: 22.77, Total Reward: 204.89, Average Profit: 22.77, Average Distance: 8.09
Episode 8000, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 8100, Avg Reward: 39.78, Total Reward: 358.03, Average Profit: 39.78, Average Distance: 4.09
Episode 8200, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 8300, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 8400, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 8500, Avg Reward: 37.25, Total Reward: 335.28, Average Profit: 37.25, Average Distance: 4.82
Episode 8600, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Traceback (most recent call last):
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 143, in <module>
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 63, in main
  File "/home/protomate/marl-ecs-course/Midsem/agent.py", line 109, in learn_from_memory
    state_batch = torch.FloatTensor(np.array(batch.state)).to(device)
                                    ^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
