Episode 0, Avg Loss: 1000.0000, Reward: -29.872272102355954, exploration: 0.7000
Episode 11800, Avg Loss: 12.2402, Reward: -100.0, exploration: 0.0518
Episode 11900, Avg Loss: 17.8460, Reward: -100.0, exploration: 0.0517
Episode 12000, Avg Loss: 15.3650, Reward: -700.98640625, exploration: 0.0516
Episode 12100, Avg Loss: 14.1316, Reward: -100.0, exploration: 0.0515
Episode 12200, Avg Loss: 11.3378, Reward: -403.81696875, exploration: 0.0515
Episode 12300, Avg Loss: 11.7823, Reward: -405.799875, exploration: 0.0514
Episode 12400, Avg Loss: 11.0423, Reward: -100.0, exploration: 0.0513
Episode 12500, Avg Loss: 11.0099, Reward: -100.0, exploration: 0.0513
Episode 12600, Avg Loss: 11.0790, Reward: -100.0, exploration: 0.0512
Episode 12700, Avg Loss: 14.0065, Reward: -409.7589375, exploration: 0.0511
Episode 12800, Avg Loss: 10.0400, Reward: -100.0, exploration: 0.0511
Episode 12900, Avg Loss: 13.0129, Reward: -412.1988125, exploration: 0.0510
Episode 13000, Avg Loss: 11.5125, Reward: -100.0, exploration: 0.0510
Episode 13100, Avg Loss: 9.9043, Reward: -100.0, exploration: 0.0509
Episode 13200, Avg Loss: 9.9449, Reward: -100.0, exploration: 0.0509
Episode 13300, Avg Loss: 11.4682, Reward: -100.0, exploration: 0.0508
Episode 13400, Avg Loss: 12.4799, Reward: -100.0, exploration: 0.0508
Episode 13500, Avg Loss: 10.7309, Reward: -100.0, exploration: 0.0508
Episode 13600, Avg Loss: 9.8188, Reward: -419.31159375, exploration: 0.0507
Episode 13700, Avg Loss: 11.0764, Reward: -420.54815625, exploration: 0.0507
Episode 13800, Avg Loss: 10.1068, Reward: -100.0, exploration: 0.0507
Episode 13900, Avg Loss: 8.1409, Reward: -100.0, exploration: 0.0506
Episode 14000, Avg Loss: 10.4772, Reward: -100.0, exploration: 0.0506
Episode 14100, Avg Loss: 10.1120, Reward: -426.14246875, exploration: 0.0506
Episode 14200, Avg Loss: 9.3637, Reward: -755.29403125, exploration: 0.0505
Episode 14300, Avg Loss: 9.1109, Reward: -100.0, exploration: 0.0505
Episode 14400, Avg Loss: 7.5041, Reward: -430.83521875, exploration: 0.0505
Episode 14500, Avg Loss: 9.6968, Reward: -100.0, exploration: 0.0505
Episode 14600, Avg Loss: 9.2128, Reward: -434.52609375, exploration: 0.0504
Episode 14700, Avg Loss: 9.6577, Reward: -100.0, exploration: 0.0504
Episode 14800, Avg Loss: 8.3733, Reward: -100.0, exploration: 0.0504
Episode 14900, Avg Loss: 9.2140, Reward: -100.0, exploration: 0.0504
Episode 15000, Avg Loss: 8.6749, Reward: -441.73646875, exploration: 0.0504
Episode 15100, Avg Loss: 8.0140, Reward: -100.0, exploration: 0.0503
Episode 15200, Avg Loss: 10.3459, Reward: -445.09784375, exploration: 0.0503
Episode 15300, Avg Loss: 9.1680, Reward: -100.0, exploration: 0.0503
Episode 15400, Avg Loss: 9.4151, Reward: -100.0, exploration: 0.0503
Episode 15500, Avg Loss: 8.8290, Reward: -450.61978125, exploration: 0.0503
Episode 15600, Avg Loss: 9.5960, Reward: -100.0, exploration: 0.0503
Episode 15700, Avg Loss: 9.4814, Reward: -100.0, exploration: 0.0503
Episode 15800, Avg Loss: 10.3205, Reward: -456.0466875, exploration: 0.0502
Episode 15900, Avg Loss: 10.1494, Reward: -100.0, exploration: 0.0502
Episode 16000, Avg Loss: 8.8636, Reward: -459.72915625, exploration: 0.0502
Episode 16100, Avg Loss: 8.6901, Reward: -461.4545, exploration: 0.0502
Episode 16200, Avg Loss: 8.4360, Reward: -463.4845625, exploration: 0.0502
Episode 16300, Avg Loss: 8.6850, Reward: -100.0, exploration: 0.0502
Episode 16400, Avg Loss: 9.3786, Reward: -100.0, exploration: 0.0502
Episode 16500, Avg Loss: 9.7058, Reward: -100.0, exploration: 0.0502
Episode 16600, Avg Loss: 10.0324, Reward: -100.0, exploration: 0.0502
Episode 16700, Avg Loss: 9.4166, Reward: -100.0, exploration: 0.0502
Episode 16800, Avg Loss: 8.4683, Reward: -100.0, exploration: 0.0501
Episode 16900, Avg Loss: 8.9489, Reward: -100.0, exploration: 0.0501
Episode 17000, Avg Loss: 8.1439, Reward: -100.0, exploration: 0.0501
Episode 17100, Avg Loss: 9.0162, Reward: -479.8539375, exploration: 0.0501
Episode 17200, Avg Loss: 9.9088, Reward: -481.7650625, exploration: 0.0501
Episode 17300, Avg Loss: 9.2011, Reward: -483.6284375, exploration: 0.0501
Episode 17400, Avg Loss: 10.4950, Reward: -485.568, exploration: 0.0501
Episode 17500, Avg Loss: 8.7973, Reward: -100.0, exploration: 0.0501
Episode 17600, Avg Loss: 8.8037, Reward: -100.0, exploration: 0.0501
Episode 17700, Avg Loss: 8.1923, Reward: -100.0, exploration: 0.0501
Episode 17800, Avg Loss: 9.4890, Reward: -493.0211875, exploration: 0.0501
Episode 17900, Avg Loss: 10.1702, Reward: -100.0, exploration: 0.0501
Episode 18000, Avg Loss: 9.3939, Reward: -100.0, exploration: 0.0501
Episode 18100, Avg Loss: 8.0501, Reward: -498.5260625, exploration: 0.0501
Episode 18200, Avg Loss: 9.6536, Reward: -100.0, exploration: 0.0501
Episode 18300, Avg Loss: 10.3561, Reward: -502.014, exploration: 0.0501
Episode 18400, Avg Loss: 8.9700, Reward: -100.0, exploration: 0.0501
Episode 18500, Avg Loss: 7.0976, Reward: -100.0, exploration: 0.0501
Episode 18600, Avg Loss: 10.1955, Reward: -100.0, exploration: 0.0501
Episode 18700, Avg Loss: 9.7534, Reward: -100.0, exploration: 0.0501
Episode 18800, Avg Loss: 8.7444, Reward: -100.0, exploration: 0.0501
Episode 18900, Avg Loss: 8.9286, Reward: -100.0, exploration: 0.0501
Episode 19000, Avg Loss: 9.3819, Reward: -100.0, exploration: 0.0500
Episode 19100, Avg Loss: 7.4538, Reward: -934.2744375, exploration: 0.0500
Traceback (most recent call last):
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 79, in <module>
    main()
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 52, in main
    loss = agent.learn_from_memory(batch_size=batchSize)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/protomate/marl-ecs-course/Midsem/agent.py", line 111, in learn_from_memory
    torch.nn.utils.clip_grad_norm_(self.knowledge.parameters(), max_norm=1.0)
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/nn/utils/clip_grad.py", line 19, in _no_grad_wrapper
    def _no_grad_wrapper(*args, **kwargs):

KeyboardInterrupt
